,Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Poisoning,Status
36,Comoros,61.58125,240.9375,1.6875,0.134666666666667,47.7314576225,76.4615384615385,62.625,18.25625,2,67.8125,4.832,66.9375,0.28125,630.38433406875,532200.6875,7.275,7.1625,0.324625,9.95625,2.56,Developing
37,Congo,59.04375,322.75,7.875,2.17333333333333,0,50.7777777777778,1021.625,20.925,11.6875,52.4375,2.98666666666667,55.25,4.9875,,,8.4875,8.125,0.5283125,10.0875,1.36,Developing
39,Costa Rica,78.59375,69.375,1,3.92466666666667,972.359149879375,79.3125,0.1875,46.725,1,69.9375,8.62,79.75,0.1,3957.22728625,2309299.4375,1.9625,1.90625,0.7369375,12.8375,0.11,Developing
40,Croatia,76.11875,89,0,12.448,1162.85632917,96.2222222222222,23.6875,52.35625,0,95.5,7.37066666666667,95.375,0.1,9056.7847190625,1159772.375,1.74375,1.71875,0.7890625,13.8875,2.82,Developed
41,Cuba,77.975,57.5625,1,4.19066666666667,364.563858083688,96.25,0,49.4625,1,98.6875,6.42866666666667,93.9375,0.1,3180.4348844375,,3.44375,3.26875,0.742125,14.69375,0.38,Developing
42,Cyprus,79.675,54.125,0,10.2606666666667,932.6673898875,92.625,1.9375,53.1625,0,98,6.76,98,0.1,13898.88550125,390274.375,0.90625,1,0.8330625,13.51875,0.13,Developed
43,Czechia,76.76875,71.8125,0,13.026,0,97.2857142857143,22.9375,55.7125,0,98,7.05,98.125,0.1,,,1.99375,2.0625,,,0.18,Developed
44,Côte d'Ivoire,50.3875,417.3125,61.5,2.83733333333333,0,63.9333333333333,1708.25,21.325,86.8125,65.9375,5.72333333333333,68.9375,4.6875,,,6.7375,6.69375,,,0.85,Developing
45,Democratic People's Republic of Korea,69.19375,160.8125,9.9375,3,0,88.8461538461538,222.5625,25.625,12.8125,98.25,,83.25,0.1,,,5.4375,5.45,,,1.63,Developing
46,Democratic Republic of the Congo,55.6875,265.375,234.5,1.424,0,51.3333333333333,48922.6875,15.8375,323.5,55.625,3.55866666666667,41.875,1.81875,,,8.14375,7.95625,,,2.27,Developing
47,Denmark,79.25625,66.0625,0,10.708,5313.33579445625,,15.75,55.825,0,88,7.82266666666667,88,0.1,33067.407915625,4260081.375,1.1625,0.9375,0.899875,17.19375,0.22,Developed
48,Djibouti,60.75625,274.6875,1.4375,0.764,98.838448121875,78,113.875,26.25,1.875,74.875,7.07066666666667,75.125,3.28125,897.99987065,634116.1875,5.84375,5.7,0.4184375,4.75,2.59,Developing
50,Dominican Republic,72.34375,143.5,6.4375,6.03066666666667,360.678997136875,65.125,23,48.14375,7.8125,75.625,4.68133333333333,83.1875,1.41875,3509.4991863125,4448642.6875,3.46875,3.375,0.685,12.74375,0.46,Developing
51,Ecuador,74.725,132.125,7.375,3.80733333333333,109.40605116625,78.0625,20.75,43.3125,8.75,78.75,5.88,89.1875,0.19375,2005.3524679375,8710592.0625,1.38125,1.26875,0.698875,13.0125,0.39,Developing
52,Egypt,71.5,170.625,56.25,0.188666666666667,0,96.6875,1069.25,49.2625,67.625,96.6875,5.346,96.6875,0.1,,,3.125,3.075,0.647625,11.89375,0.22,Developing
53,El Salvador,71.74375,155.0625,2.5625,2.69266666666667,341.56915731,86.0625,0.125,45.325,2.875,82.25,7.10333333333333,87.1875,0.2875,2517.8346304375,2930826.5,1.80625,1.725,0.6504375,12.65625,0.6,Developing
54,Equatorial Guinea,55.3125,279.375,3,7.342,552.671538039375,9,294.5,17.85625,4,36.875,2.92933333333333,29.9375,5.1375,7902.4107885625,556765.3125,6.65625,6.6,0.5361875,8.325,1.91,Developing
55,Eritrea,60.6875,308.625,6.3125,0.608,6.4360693815625,86.4285714285714,175,15.15625,8.9375,87.8125,3.46866666666667,82.25,1.2125,259.395356291667,2071919.33333333,8.08125,8.01875,0.2553125,4.925,3.26,Developing
56,Estonia,74.94375,169.6875,0,9.01466666666667,859.575008428437,86.8333333333333,3.5,56.68125,0,94.25,5.68733333333333,94.125,0.1,8340.4329494375,791848.6875,2.075,2.1375,0.8233125,15.9375,0.5,Developing
57,Ethiopia,59.1125,285.5625,187.75,1.07466666666667,32.482109182375,64.1111111111111,3948.375,14.8,288.5,51.125,4.90133333333333,46.1875,2.725,264.97094995,43950760.75,8.38125,6.475,0.346125,6.8,3.74,Developing
58,Fiji,68.7125,125,0,1.46266666666667,139.156837596938,98.875,50,50.5625,0,97.125,3.89733333333333,91.6875,0.1,2947.612688875,650205.125,4.09375,3.79375,0.70225,14.18125,3.49,Developing
